no,pro_id,disciplines,funder,title
59,09db321a-849e-4007-bd48-d5edf5f25074,['0601'],not specific,Scientific academic service concerning the theme of Jesuit heritage
60,e3c7fab9-75a4-490a-b3d6-f30807c8dcc9,['0604'],Research Foundation Flanders,BELGIAN MOMO HERITAGE ON THE RADAR Re reading modernist housing estates an inquiry into the value of threatened heritage sites and the possibilities of adaptive reuse as a method for re evaluation
61,0a017549-bdee-4493-937e-73601e8f75c8,"['0104', '0202']",Research Foundation Flanders,Porphyrinoid materials for near infrared organic photodetectors
62,458ffe49-620f-44eb-9462-448753c45355,['0104'],Flemish Government,One step catalytic conversion of ethanol into butadiene
63,1eedda22-b7bf-4f2f-8fb2-62250064c1ca,['0202'],European Commission,Unique multiarray immunosensor for the accurate quantification of the fertility window of women in saliva Umay women 
64,c22bde50-3b67-45e4-8b24-aba3dac758d2,['0103'],Research Foundation Flanders,Hyperspectral imaging of the endo and exohedral interactions of molecules with single wall carbon nanotubes 
65,170e7454-5f3c-4a35-842f-72fbd6a0e3a6,['0202'],not specific,High frequency Integrated Power Converters with D Integration Technology for High performance Computing Systems
66,7f0b88ef-bd7d-4bd5-aeca-c1261c4ed452,"['0104', '0202']",Research Foundation Flanders,Reviving electrochemical detection for HPLC analysis of illicit drugs metabolites and isomers REVAMP 
67,91bddd9f-0b39-4b2d-98a6-3cd3e081762b,['0503'],Flemish Government,Cognitive impact of preventive tablet based games in pre readers at risk for dyslexia
68,943e0586-8152-4c84-b269-f21a8bcfbfdb,['0508'],not specific,SoMe Dem Social media for democracy understanding the causal mechanisms of digital citizenship
69,81a527e7-cb59-4c85-9ea1-ed7e38dcceb2,['0207'],not specific,Fungateria Enlisting synthetic fungal bacterial consortia to produce multi cellular mycelium based ELMs with computational capability
70,a3361868-89b2-490e-bbc2-24418e2cf0ed,"['0302', '0301', '0106']",not specific,Exploiting viral regulators for synthetic biology toolbox development for Sulfolobales
71,9a5b8a9b-63bc-470c-9d11-3103125737f4,['0503'],not specific,Erasmus GreenDeal NET Governing the EUTransition towards Climate Neutrality and Sustainability
72,2e4822a1-82de-45d5-b5df-8f20a962c545,['0103'],not specific,Exploring the stochastic gravitational wave background of cosmological origin from models to signatures
73,bb5245ca-e296-4204-a83c-8828869ae645,['0103'],not specific,Probing the Charm Higgs Yukawa at the LHC 
74,6a9ec22a-cad8-48c5-a746-f22b6ecb9815,"['0306', '0301']",Research Foundation Flanders,CONNEXIN HEMICHANNELS AS PRO ARRHYTHMIC MEDIATORS IN CARDIAC HYPERTROPHY AND HEART FAILURE
75,6eed594d-368f-4d76-b165-57df77cd8e84,['0103'],Research Foundation Flanders,Fundamental understandings and development of a novel plasma biofunctionalized D printed electrospun scaffold for synergetic vascularization and regeneration of spinal cord hemisection
76,d0146a8d-eaaf-4e06-8976-c1329f137ce1,['0203'],not specific,The CO simulation of UNsTeady aERodynamics COUNTER Integrating wind tunnel experiments and numerical simulations to a deeper level A novel methodology using structured data driven models
77,3801a473-716e-4733-b59f-06169ba8fd5f,['0103'],not specific,The CMS experiment at the CERN Large Hadron Collider
78,c09f5d82-aca7-4395-8cc4-afc19f470a87,['0103'],not specific,Exploring the Extreme Universe with the Extended IceCube Neutrino and Cosmic Ray Observatory at the South Pole 
79,17cf6d74-1d28-41dc-8ecb-10fd6434618d,"['0208', '0102', '0202']",not specific,Efficient generation and compression of digital holograms with deep neural network encoding 
80,c402f603-40d7-4a4e-bb87-5e68dc155567,['0301'],Research Foundation Flanders,In situ Biofilm
81,f30cfcd2-9d2c-4ea7-827e-c7e45d479cb6,"['0201', '0601', '0604']",not specific,Reviving the circular building industry Looking into construction demolition and reuse from the past to the future 
82,06e43222-d9fe-4b3c-b12d-ac44eeb499e6,['0103'],European Commission,The origin of cosmic dust in galaxies
83,c8d35293-c565-4391-86d2-1d28453c5255,['0205'],Research Foundation Flanders,FWO sabbatsverlof Prof Vera Meynen 
84,bd894665-9cbc-4f22-9017-ec2651872fa6,['0206'],Flemish Government,Process monitoring and controlled biomanufacturing of human periosteum derived progenitor cells for cell therapy applications
85,a327a9e7-df4f-4485-b634-e2edffc3e982,['0501'],not specific,Models and Techniques for the Meta Analysis of Dependent Effect Sizes
86,085e38db-2454-4f12-8c70-b82c114be744,"['0102', '0104', '0205']",Research Foundation Flanders,Tailored crystals on demand gaining a full understanding of the crystallization of low dimsional hybrid perovskites 
87,70ec91c0-23f2-4281-a7bf-0df99de3dd9c,"['0203', '0202']",not specific,Fiber optics predictable physical models towards load analysis in mechatronic systems FiberMech
88,fa38700f-2e22-490e-bacb-d312f5b12f23,['0104'],not specific,Francqui Research Professor Catalysis for sustainable organic chemistry CASCH 
89,57348444-1f3a-48ea-b66c-4e3e01b87e77,['0104'],Research Foundation Flanders,Gold Photocatalysis PhotAuCat 
90,807dc9a3-1ff9-415a-bc44-a772901e3ab8,"['0102', '0106']",Flemish Government,Computational analysis of large scale biological data
91,cb0b8ad6-113b-43ac-baf8-c1f4853949c5,"['0106', '0207']",Flemish Government,The secret garden diatom adaptation and evolution in benthic environments
92,706b444a-83e9-4015-982e-d0d14c34a368,"['0301', '0106']",Flemish Government,Novel mechanisms of inflammation and cell death regulation in autoinflammatory and infectious diseases
93,33087f25-9323-4886-93c1-a6245311dc10,"['0106', '0301']",Research Foundation Flanders,ProteinContour proteome scale unraveling of the relation between post translational modifications biophysical properties interactions and sub cellular location of proteins 
94,4dfaa7d1-00cc-4340-a1de-95d9856de736,['0106'],Research Foundation Flanders,How Ulva blooms unravelling the genetic architecture of green tides
95,fd586545-ec5f-43b0-be5e-0321591ff9d9,['0505'],Research Foundation Flanders,Intelligent contracting legal aspects of the precontractual use of artificial intelligence
96,2ca5ca4d-6515-4131-9e40-e3925ee4d821,['0201'],not specific,Living at in the Edge River Restoration as a New Urban Design Strategy
97,1cd2d513-71bf-412b-9541-04236425ca6b,"['0301', '0306']",Research Foundation Flanders,One HeAlth InteRventIon and TransmiSSion in AMR HARISSA 
98,8bc3535c-4697-4189-8368-7ee35e98e920,"['0302', '0303']",European Commission,SARS coV variants evaluation in pregnancy and paediatrics cohorts VERDI 
99,59d6de35-c7ba-4115-a8d2-b89334f59b79,"['0302', '0303']",European Commission,European Corona Vaccine Trial Accelerator Platform VACCELERATE 
100,833225ac-fdd4-4d2b-93f4-80d654802508,['0301'],Research Foundation Flanders,Are SARS CoV specific antibodies a correlate for protection 
101,510edba5-01f0-4e20-a01f-8ef1402e3464,"['0302', '0303']",European Commission,Rapid European SARS CoV Emergency research Response RECoVER 
102,b02f4235-d8ff-4a3a-b9a3-00ea1d989156,"['0603', '0504', '0601', '0602']",Research Foundation Flanders,Freising and the Slavs under bishop Abraham A text based approach to mission and pastoral care among the Carantanians in thecentury
103,53ab5889-d6ae-4953-8f4c-2798eec25488,['0302'],Flemish Government,BDNF engineered regulatory T cells a future regenerative cell therapeutic strategy 
104,5667b5e9-a7b1-4b88-be3d-8711a6298f0f,"['0301', '0306']",not specific,In vivo effects of novel YAP TAZ TEAD inhibitors
105,01f3108c-c3d3-4eae-a832-38081a96470d,"['0106', '0301']",Research Foundation Flanders,Deciphering the regulation of long term memory by neuripeptide regulation
106,fbb14bbf-c8d4-4bea-aaaa-e0470724740b,['0104'],not specific,Processes for decentralized ammonia synthesis from water air and renewable energy
107,6c47dcc5-136c-4825-b740-96d7c84b547f,['0106'],Research Foundation Flanders,Riboproteogenomics of the sORF encoded Salmonella peptidome
108,5d627c79-d67b-4c77-89e9-2cf1d658da82,"['0502', '0507', '0599']",not specific,ICP Incrementele toelage Master of Development Evaluation and Management
109,b9542f02-b9f8-464d-a5f9-53b643797aa0,['0207'],Research Foundation Flanders,PurpleSky Unlocking the genomic potential of purple bacteria for microbial food production on H and CO derived compounds 
110,22dad376-6b7a-48ec-a4cd-c5e096508474,"['0499', '0106', '0402']",Research Foundation Flanders,MALDI TOF MS driven cutting edge research in fundamental clinical and applied microbiology and biochemistry
111,135650d4-c378-4c21-b483-491e8be861cd,['0504'],Research Foundation Flanders,Decolonising social norms change An analysis of the politics of knowledge production in relation to Female Genital Mutilation Cutting and child marriage
112,376f69ed-027b-4233-8dc7-620207d640c4,"['0201', '0504', '0506']",not specific,Forced Displacement Urbanisms Territorial Biographies and Contemporary Narratives in the Syrian Refugee Camps in the Kurdistan Region of Iraq
113,d8cde00e-5da4-46d0-9935-6217ff95d179,['0202'],not specific,Correlation between objective and subjective descriptors of a lit indoor environment
114,34b37470-0e36-4bed-9f2b-61174756ff89,"['0301', '0303']",Research Foundation Flanders,Vaccine preventable diseases in pregnant and lactating women 
115,9aca6d35-1c22-481d-849e-0b869cf713f6,"['0304', '0301', '0302']",Research Foundation Flanders,Towards an understanding of the role of soft tissue structural and mechanical properties in upper limb function after breast cancer treatment the SOFT TI TRIAL
116,9fbf1cc8-f87a-47e2-9431-0fd0387ccf01,['0202'],Flemish Government,Agrivoltaics
117,9b5a267b-666b-4a17-b2ca-7cc1bb2c4101,['0106'],Research Foundation Flanders,Endocytosis and cellular recycling in an ageing context
118,44a2792c-3a73-4f15-b6b5-8f0c7ee499b7,"['0301', '0304', '0306', '0501']",not specific,Illuminating Infant Development The Autonomic Nervous System and Autism
119,e8f51c7c-e5bf-4a44-9a61-5b17c075a251,"['0101', '0502', '0102', '0501']",Research Foundation Flanders,SCOREPLUS Scalable Node Representation Learning in Customer Networks New Techniques and Application 
120,88cf48cf-2c7a-4d72-9dc7-90d24e181043,"['0506', '0601', '0201', '0604']",Flemish Government,Building for Belgium Belgian Embassies in a Globalising World 
121,d13c82e9-35db-4824-ba36-bab73f7c16fd,"['0104', '0305', '0103']",Flemish Government,Synthesis of CXCR and CCR chemokine receptor antagonists targeting a conserved intracellular binding site
122,a3e71f6e-6276-40d9-a64f-f8aae5d3c677,"['0107', '0401']",not specific,Impacts of soil improving cropping systems on physical soil quality
123,3af5e7d2-1eeb-4fcf-8e31-788d486c1957,['0301'],not specific,Defining the role of ZEB in tumour initiation and progression of basal like breast cancer
124,becfdc03-5c5b-4c43-b83d-4c26444f279d,"['0301', '0106', '0302']",Research Foundation Flanders,Type III intermediate filaments molecular structure to understand muscular disease
125,b62903ef-09a5-4c70-819e-ba93ad7d76f1,"['0301', '0106']",Research Foundation Flanders,Characterization of CXCR ligand proteoforms in inflammatory lung and joint diseases for identification of therapeutic targets
126,c2b85161-1efe-481c-95f7-ea21fdde7010,['0103'],Research Foundation Flanders,New theory and applications with the regularized Kappa distribution
127,c50a4783-d5b6-4ffd-9fba-13dcf1e67d21,['0302'],Research Foundation Flanders,STOP SEPSIS investigation into a new concept of sepsis the greatest unmet medical need of our times 
128,4fb1a988-394f-4f4d-9d9b-3bd9e862aa3a,"['0306', '0302']",not specific,Can we use resting state fMRI and CSD fiber tractography in presurgical mapping 
129,44599998-907c-4026-9a70-fd46930820c3,"['0201', '0203', '0204']",European Commission - Next Gen EU,Circular moss filters for an innovative nature based outdoor air purification system 
130,11d278d5-8c42-4502-9cbd-1e0dc882056d,"['0301', '0306', '0106', '0304']",not specific,Mapping and treating metabolic rewiring in mitochondrial disease
131,2e5fe6bb-370f-45a9-a0fd-5a83b91e6d62,['0301'],Research Foundation Flanders,Inducing angiogenesis in pancreatic cancer with cold atmospheric plasma to enhance drug delivery and efficacy 
132,b69d64d4-03d2-4ea9-9a19-f6b01dee0055,['0203'],Research Foundation Flanders,Optimal prosumer based district heating and cooling using reinforcement learning agents 
133,b1e657ca-f82f-486f-bf0a-cf16b881b45b,"['0103', '0208']",Research Foundation Flanders,Fast x ray phase contrast computed tomography for materials science and industry
134,c7edeecc-b697-4026-9202-c5ada2a85ad0,['0302'],Research Foundation Flanders,Microvascular dysfunction in adults with a congenital heart disease and the effect of exercise training MICONEX 
135,03cf9e1b-2593-4555-8fe1-0c6c04a1eff2,['0106'],Research Foundation Flanders,The evolution of cognition and personality in island lizards
136,7d6796f5-87a8-48cc-898b-e87a3c367683,"['0301', '0305', '0306']",Research Foundation Flanders,Blocking ischemia reperfusion injury during dynamic preservation of organ grafts using lead ferroptosis inhibitors 
137,65baac07-0307-4fc6-b714-908144d5ae64,['0306'],Research Foundation Flanders,Targeted treatment for KCNQ related encephalopathies retigabine analogues repurposed drugs and allele specific knock down TREATKCNQ 
138,07c3074e-a6ea-44e5-a525-425783d0bffb,"['0305', '0306']",Research Foundation Flanders,Mutant allele silencing and novel potassium channel openers as targeted treatment strategies for KCNQ encephalopathy validation in induced pluripotent stem cell derived neuronal cultures 
139,810238ad-7836-41d8-8c2a-24c8d10c816f,"['0501', '0503']",Research Foundation Flanders,FWO sabbatical Prof V Donche 
140,8ce61c19-74f1-443e-b3c1-d3e9edd92955,['0502'],not specific,Developing Geotourism as a Sustainable Development Vehicle The case of the Lake Tana Region Ethiopia
141,5e38fc60-e0d6-4c3a-a914-8bca31a5cda4,"['0106', '0301', '0306']",Research Foundation Flanders,Uncovering regulators of H K methylation in cartilage to identify targets for osteoarthritis therapy
142,16707084-0d86-487b-9fe8-8e9233f08992,"['0201', '0105', '0205']",Flemish Government, D multi scale structural characterization and long term performance related to efflorescence
143,baad748d-66a9-41aa-8b75-f43bad8e31c6,['0106'],Research Foundation Flanders,The influence of protein N terminal acetylation on protein conformation
144,8a48cbc7-dd48-489e-b93b-750c8a83ae7a,"['0104', '0204']",Flemish Government,Development and Optimization of Photochemical Reactors for Productivity and Efficiency
145,72f0a72a-13e9-4175-ab9a-797a1ebfb09a,"['0502', '0507']",Research Foundation Flanders,Innovative Entrepreneurship in Cities and Regions Knowledge Connectivity Incumbent Appropriation Strategies and Multinational Firms
146,eca7c676-77cb-47dc-b2ae-7a7f16316128,"['0502', '0102']",Research Foundation Flanders,Process Model Forecasting From Short and Sweet to Long and Lasting
147,354bca53-7e8b-4926-ba7e-a356e33d785d,"['0301', '0303', '0305']",Research Foundation Flanders,COIN B COntrolled Interruption of Nucleos t ide analogue treatment in chronic hepatitis B 
148,bbbb8a03-33bf-4750-96ee-3d193fbbeeb5,"['0401', '0106']",not specific,Marketing and product quality as keys to success of marigold cultivation
149,d7238ab3-4331-4c42-9caa-6e3de470abe9,['0602'],Research Foundation Flanders,CLARIAH VL Open Humanities Service Infrastructure
150,6a22efc1-cae7-4933-bae8-cc6baeaa9e6b,['0601'],Research Foundation Flanders,The Quest for Otherness Uncovering Narratives of Religious Distinction in the Long Tenth Century 
151,c0925b81-ba62-4fa1-8aff-1a4220049c08,['0505'],Research Foundation Flanders,Medieval Regulae Juris Origins Evolution System 
152,4f1204f6-116a-4814-b165-49b50274ee0c,"['0301', '0302', '0305']",Research Foundation Flanders,Regulated necrosis as a pharmacological target in atherosclerosis 
153,fa17c484-6d80-4f15-baf2-777151594727,"['0205', '0202', '0203']",Flemish Government,Thermal and electro thermal characterization of GaN powerbars
154,ced53752-c7c0-4680-a06c-cf49ba52c753,['0103'],Flemish Government,Ab initio simulations of novel D materials and interfaces for advanced ICT applications
155,7a40b2f8-1baf-431f-8969-3ee0bb3c14fa,['0104'],Flanders Innovation & Entrepreneurship,Development of zeolite adsorbents for industrial applications
156,23b27f18-fa4b-4373-90ee-ec1c46811e68,"['0106', '0401', '0301', '0306']",Research Foundation Flanders,Molecular Plant Pathogen Interactions
157,0e1ec1c5-1761-4e00-ba23-20abbe974fc5,"['0202', '0203']",Flemish Government,Degradation Mechanisms in Perovskite Photovoltaic Devices
158,89e3df09-e45e-40b9-b01e-16f79f856f57,['0102'],Flanders Innovation & Entrepreneurship,FARAD SORT Fast Deep Learning and Deployment for Products Sorting
159,ae0f3a62-fe80-4e72-80a2-60013f1ee648,"['0101', '0102']",not specific,Preserving Language Abstractions Gradual Typing and State Threads
160,111e6e1f-ec0e-45e6-99e3-3cab8c7d7204,['0601'],Research Foundation Flanders,Rethinking sailortown Comparing the socioeconomic dynamics of harbour districts in Antwerp and Boston 
161,0d81da2b-7c61-4fa2-b76f-bfe5d059adb5,['0302'],not specific,SRP Onderzoekszwaartepunt ITAREG Molecular Imaging and TArgeting of immunoREGulatory cells in Inflammatory diseases and cancer
162,bae60c67-4f54-45ba-a6cb-e68320b01a96,"['0401', '0106', '0105', '0107']",not specific,Greening intensive farming landscapes evaluation of ecosystem service provisioning in Flemish apple farming
163,53ffddbf-b58e-4a74-a11b-5a72a7a992df,['0201'],Research Foundation Flanders,Advanced performance assessment of existing concrete buildings by coupling D analysis of load arrangement structure analysis including membrane action and test based model updating
164,d283b28f-55bd-49d6-9d5a-d86f093d3e85,"['0206', '0104']",not specific,Sampling made SIMPLE Towards a fully integrated low cost and wearable diagnostic technology
165,7f0695dc-5d7e-4b29-9557-d1e4d95af998,"['0106', '0299', '0599']",European Commission,Inspired to Integrate Filtering NatureDiversity for Nature friendly Implementations Nature Nature 
166,47542274-7d55-472d-b34f-666541a79dbf,['0103'],not specific,Laser ultrasonic testing methods for crack detection and plastic deformation monitoring under dynamic loading stress
167,ab40d62b-9944-4f0b-91d8-33ed07460fd7,['0207'],not specific,Resource effectiveness as a guiding principle for the circular economy transformation 
168,d8e8f6a8-1b0e-4da6-b439-cd8c29ec06ea,['0102'],not specific,New Privacy Engineering Methods for Artificial Intelligence
169,dfa91176-f19b-45ec-ab1b-5ab220cf2ded,"['0202', '0208']",Research Foundation Flanders,Robust speech capture and enhancement using ad hoc distributed microphone arrays by integrating and embedding domain specific signal models within deep learning frameworks
170,98330213-1a27-4711-bc7f-122a22fcb116,"['0103', '0101', '0202']",not specific,Singular Electromagnetics A Symmetry Point of View
171,065e5820-de2a-453f-ae2b-58d97b8b3685,"['0106', '0207']",Flemish Government,A high throughput electroporation system for rapid strain development for industrial biotechnology purposes
172,e47de113-89a4-427d-9d9d-7f8af606443d,['0208'],not specific,Rigorous security guarantees for programming languages BOF Tenure Track Mandate WE 
173,d9284914-ddd3-4cbe-9c01-7129521f325e,"['0202', '0599', '0401', '0603', '0107', '0208', '0102', '0207', '0502']",not specific,Animal Welfare Indicators at the SlaughterHouse
174,de83478e-7d86-4c40-bc00-d3886b3b5cd2,['0205'],Flanders Innovation & Entrepreneurship,Hyperspectral cameras for the efficient assessment of coatings corrosion and material surfaces HypIRspec 
175,7d4a81c1-623d-42ec-ac54-29b867a3d003,"['0208', '0203']",Flemish Government,Cofinancing core facility Centre for X ray Tomography U UGCT
176,6a6d55ca-df65-40c8-93ba-f2fd63be5037,"['0103', '0102']",Flemish Government,Reparameterization of ReaxFF force fields using sensitivity analysis and a novel global optimization approach AutoCheMo 
